gross_x_m,gross_y_m,net_x_m,net_y_m,net_h_m,ratio_w,ratio_l,louden_deviation,axial_modes_below_200hz,degenerate_pairs,max_axial_gap_ratio
5.353,5.353,5.053,5.053,2.37,2.132,2.132,0.543,12,5,2.0
4.991,5.74,4.691,5.44,2.37,1.979,2.295,0.496,13,3,1.725
4.695,6.103,4.395,5.803,2.37,1.854,2.449,0.504,13,2,1.515
4.55,6.37,4.25,6.07,2.37,1.793,2.561,0.544,13,1,1.428
4.371,6.556,4.071,6.256,2.37,1.718,2.64,0.569,13,2,1.537
4.046,7.081,3.746,6.781,2.37,1.581,2.861,0.692,13,3,1.81
3.785,7.57,3.485,7.27,2.37,1.47,3.068,0.827,14,6,2.0
3.64,7.735,3.34,7.435,2.37,1.409,3.137,0.875,13,3,2.0
3.53,8.118,3.23,7.818,2.37,1.363,3.299,0.989,13,2,2.0
